address	currency	sources
12jVCWW1ZhTLA5yVnroEJswqKwsfiZKsax	XBT	ofac_0xB10C
12mNKr2YP4M3CEQvCvVqZsvxuCG47LHMu1	XBT	ofac_0xB10C
12sDU3FyYJXc2oRzE6XXuuhVHCBJvaoCC8	USDT	il_mod_crypto
12sjrrhoFEsedNRhtgwvvRqjFTh8fZTDX9	BSV	ofac_0xB10C
12udabs2TkX7NXCSj6KpqXfakjE52ZPLhz	XBT	ofac_0xB10C
12w6v1qAaBc4W8h8C2Cu5SKFaKDSv3erUW	XBT	ofac_0xB10C
1348ThkNoDupq1bws95diMiL8haGs61K7M	XBT	il_mod_crypto
134r8iHv69xdT6p5qVKTsHrcUEuBVZAYak	XBT	ofac_0xB10C
13JtX4h7G5ZuNK5mFudKGq9DHLvvMFuNuz	XBT	ofac_0xB10C
13LQJQ1oJ9K7PsqsGfjNhoVv6UeU6hgzQz	XBT	ofac_0xB10C
13RH4JaFhaCxDGPyYE9emjp2aDxdX18uBA	XBT	ofac_0xB10C
13ViCDZyJxxv5cZzpDDsE7aDQ3Y552zpAH	XBT	ofac_0xB10C
13YBQr2Cp1YY3xqq2qngaPb7ca1o4ugeq6	XBT	ofac_0xB10C
13f59kUM5FU8MfTG7DCEugYarDhSD7XCoC	XBT	ofac_0xB10C
13fhnkmpBBWXUQucJd6efWvXdEj78DKavk	XBT	ofac_0xB10C
13hfsQm6oCaDZehfYBSMFiJVAi1jsL6sQd	XBT	ofac_0xB10C
13iQsrwBYdrLpnitG5EV79o3PeHjH8XUBc	XBT	il_mod_crypto
13mnk8SvDGqsQTHbiGiHBXqtaQCUKfcsnP	XBT	ofac_0xB10C
13ztYvFxVpioqRvr8YUz7UmJm36ERJhMBG	USDT	il_mod_crypto
1481074704939202117L	LSK	il_mod_crypto
148LKmyZT3FGE4x1GjsFN6RsAwcjzk5iuE	XBT	ofac_0xB10C
149w62rY42aZBox8fGcmqNsXUzSStKeq8C	XBT	ofac_0xB10C
14gM1HuLVDELNHaFU22qpabjtiWek4HhV1	XBT	ofac_0xB10C
14kqryJUxM3a7aEi117KX9hoLUw592WsMR	XBT	ofac_0xB10C
14rjAD8ZP5xaL571cMRE98qgxxbg1S8mAN	XBT	ofac_0xB10C
158treVZBGMBThoaympxccPdZPtqUfYrT9	XBT	ofac_0xB10C
